STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1952-05-01,,,4.85,",,,0",61.7,",0",71.5,",,,0",51.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1952-06-01,,,2.59,",,,0",74.7,",0",85.1,",,,0",64.3,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1952-07-01,,,3.05,",,,0",80.1,",0",90.5,",,,0",69.6,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1952-08-01,,,6.33,",,,0",75.1,",0",83.8,",,,0",66.5,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1952-09-01,,,3.05,",,,0",68.5,",0",78.8,",,,0",58.2,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1952-10-01,,,0.49,",,,0",53.8,",0",64.9,",,,0",42.7,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1952-11-01,,,4.91,",,,0",46.6,",0",55.0,",,,0",38.3,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1952-12-01,,,3.27,",,,0",38.5,",0",45.0,",,,0",32.0,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1953-01-01,,,5.01,",,,0",38.0,",0",44.7,",,,0",31.2,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1953-02-01,,,2.44,",,,0",38.8,",0",47.3,",,,0",30.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1953-03-01,,,6.28,",,,0",45.1,",0",53.1,",,,0",37.1,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1953-04-01,,,4.81,",,,0",53.0,",0",61.8,",,,0",44.3,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1953-05-01,,,5.86,",,,0",65.3,",0",74.6,",,,0",56.0,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1953-06-01,,,4.98,",,,0",73.2,",0",83.9,",,,0",62.5,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1953-07-01,,,3.98,",,,0",77.9,",0",88.4,",,,0",67.3,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1953-08-01,,,2.47,",,,0",75.3,",0",85.8,",,,0",64.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1953-09-01,,,1.74,",,,0",69.3,",0",,",,,0",,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1953-10-01,,,4.38,",,,0",59.5,",0",70.7,",,,0",48.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1953-11-01,,,1.93,",,,0",46.7,",0",56.4,",,,0",37.0,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1953-12-01,,,4.28,",,,0",-60.6,",0",47.8,",,,0",,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1954-01-01,,,1.93,",,,0",31.6,",0",39.9,",,,0",23.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1954-02-01,,,1.37,",,,0",41.2,",0",50.4,",,,0",31.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1954-03-01,,,3.71,",,,0",42.3,",0",51.5,",,,0",33.1,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1954-04-01,,,3.75,",,,0",56.3,",0",67.5,",,,0",45.1,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1954-05-01,,,2.41,",,,0",61.1,",0",70.2,",,,0",52.1,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1954-06-01,,,2.59,",,,0",72.9,",0",83.4,",,,0",62.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1954-07-01,,,1.24,",,,0",77.9,",0",89.1,",,,0",66.7,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1954-08-01,,,4.86,",,,0",73.5,",0",82.5,",,,0",64.5,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1954-09-01,,,3.26,",,,0",69.1,",0",78.2,",,,0",60.0,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1954-10-01,,,2.4,",,,0",61.2,",0",70.6,",,,0",51.8,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1954-11-01,,,3.88,",,,0",45.4,",0",53.5,",,,0",37.2,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1954-12-01,,,2.66,",,,0",36.0,",0",43.1,",,,0",28.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1955-01-01,,,0.45,",,,0",32.6,",0",39.0,",,,0",26.2,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1955-02-01,,,2.49,",,,0",36.1,",0",44.9,",,,0",27.3,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1955-03-01,,,4.8,",,,0",44.4,",0",53.3,",,,0",35.5,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1955-04-01,,,1.93,",,,0",55.9,",0",66.0,",,,0",45.8,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1955-05-01,,,0.91,",,,0",66.1,",0",76.7,",,,0",55.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1955-06-01,,,4.06,",,,0",69.2,",0",78.7,",,,0",59.6,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1955-07-01,,,1.05,",,,0",81.4,",0",91.1,",,,0",71.7,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1955-08-01,,,9.7,",,,0",78.1,",0",86.5,",,,0",69.7,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1955-09-01,,,1.72,",,,0",68.0,",0",76.9,",,,0",59.1,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1955-10-01,,,4.53,",,,0",59.0,",0",69.0,",,,0",49.0,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1955-11-01,,,1.16,",,,0",44.0,",0",52.6,",,,0",,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1955-12-01,,,0.25,",,,0",30.5,",0",38.0,",,,0",22.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1956-01-01,,,2.3,",,,0",32.1,",0",38.3,",,,0",25.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1956-02-01,,,4.64,",,,0",37.6,",0",44.8,",,,0",30.3,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1956-03-01,,,4.65,",,,0",38.7,",0",46.3,",,,0",31.2,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1956-04-01,,,2.68,",,,0",49.9,",0",59.6,",,,0",40.2,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1956-05-01,,,3.85,",,,0",60.9,",0",71.8,",,,0",49.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1956-06-01,,,3.87,",,,0",72.2,",0",82.0,",,,0",62.5,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1956-07-01,,,4.62,",,,0",73.6,",0",81.7,",,,0",65.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1956-08-01,,,2.79,",,,0",74.1,",0",83.2,",,,0",64.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1956-09-01,,,3.75,",,,0",65.2,",0",73.9,",,,0",56.4,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1956-10-01,,,3.47,",,,0",57.7,",0",66.7,",,,0",48.6,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1956-11-01,,,5.71,",,,0",46.3,",0",54.6,",,,0",37.9,",,,0"
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",39.87327,-75.22678,3.0,1956-12-01,,,3.7,",,,0",41.6,",0",49.3,",,,0",34.0,",,,0"
